game_number,round,verify_dummy,verify_other,volunteer_with_dummy,game_round_label
1,1,0.0,3.0,0.0,G1R1
1,2,0.14285714285714285,0.2857142857142857,1.5714285714285714,G1R2
1,3,0.0,0.0,0.14285714285714285,G1R3
1,4,0.0,0.0,0.0,G1R4
2,1,0.0,0.2857142857142857,2.7142857142857144,G2R1
2,2,0.0,0.0,0.0,G2R2
2,3,0.0,0.0,0.0,G2R3
2,4,0.0,0.0,0.0,G2R4
3,1,0.14285714285714285,0.0,2.857142857142857,G3R1
3,2,0.0,0.0,0.0,G3R2
3,3,0.0,0.0,0.0,G3R3
3,4,0.0,0.0,0.0,G3R4
4,1,0.0,0.0,3.0,G4R1
4,2,0.0,0.0,0.0,G4R2
4,3,0.0,0.0,0.0,G4R3
4,4,0.0,0.0,0.0,G4R4
5,1,0.0,0.0,3.0,G5R1
5,2,0.0,0.0,0.0,G5R2
5,3,0.0,0.0,0.0,G5R3
5,4,0.0,0.0,0.0,G5R4
6,1,0.0,0.0,3.0,G6R1
6,2,0.0,0.0,0.0,G6R2
6,3,0.0,0.0,0.0,G6R3
6,4,0.0,0.0,0.0,G6R4
7,1,0.0,0.0,3.0,G7R1
7,2,0.0,0.0,0.0,G7R2
7,3,0.0,0.0,0.0,G7R3
7,4,0.0,0.0,0.0,G7R4
8,1,0.0,0.0,3.0,G8R1
8,2,0.0,0.0,0.0,G8R2
8,3,0.0,0.0,0.0,G8R3
8,4,0.0,0.0,0.0,G8R4
9,1,0.0,0.0,3.0,G9R1
9,2,0.0,0.0,0.0,G9R2
9,3,0.0,0.0,0.0,G9R3
9,4,0.0,0.0,0.0,G9R4
10,1,0.0,0.0,3.0,G10R1
10,2,0.0,0.0,0.0,G10R2
10,3,0.0,0.0,0.0,G10R3
10,4,0.0,0.0,0.0,G10R4
